STATION,CBPSEG,cbpseg_st,LATITUDE,LONGITUDE,SUM,MEAN,COUNT,DistanceToNearestKm,Cell_ID
04J27,JMSOH,JMSOH_VA,37.2417,-76.9031,0.007,0.001,7,1055.129411,683
04J28,JMSOH,JMSOH_VA,37.2206,-76.9111,1.736,0.157818182,11,832.9060941,599
04J29,JMSOH,JMSOH_VA,37.2175,-76.9175,0.042,0.003818182,11,352.236008,599
04M01,CB7PH,CB7PH_VA,37.1417,-76.0392,0.06,0.002608696,23,868.0213325,1914
04M02,CB6PH,CB6PH_VA,37.15,-76.2036,0.16,0.005,32,721.2346204,1736
04M03,CB6PH,CB6PH_VA,37.155,-76.1914,0.24,0.006153846,39,652.2815215,1820
04M05,MOBPH,MOBPH_VA,37.2142,-76.3508,0.011,0.001,11,826.5566694,1807
04M06,CB7PH,CB7PH_VA,37.2306,-76.1186,0.126,0.003405405,37,553.0005207,2075
04M07,MOBPH,MOBPH_VA,37.2825,-76.3261,0.036,0.0018,20,693.837214,2058
04M08,CB7PH,CB7PH_VA,37.2928,-76.0683,0.059,0.001372093,43,305.6483742,2245
04M09,MOBPH,MOBPH_VA,37.3106,-76.3031,0.005,0.001,5,802.0352649,2143
04M11,CB6PH,CB6PH_VA,37.3539,-76.21,0.037,0.001541667,24,490.4204027,2317
04M12,CB6PH,CB6PH_VA,37.3758,-76.2428,0.03,0.001578947,19,1297.307301,2314
04M13,CB7PH,CB7PH_VA,37.3856,-76.0325,0.058,0.001705882,34,1388.13379,2414
04M14,CB6PH,CB6PH_VA,37.4028,-76.2175,0.997,0.058647059,17,621.9344416,2400
04M15,CB7PH,CB7PH_VA,37.4039,-76.0394,0.06,0.001714286,35,1639.862372,2498
04M16,CB7PH,CB7PH_VA,37.4331,-76.0964,0.016,0.001142857,14,963.6711577,2493
04M17,CB6PH,CB6PH_VA,37.4986,-76.1833,0.018,0.001384615,13,1624.425084,2653
04M18,CB6PH,CB6PH_VA,37.5203,-76.1647,0.034,0.001888889,18,990.3717224,2655
04M19,CB6PH,CB6PH_VA,37.5217,-76.2744,0.032,0.002,16,386.4823135,2646
04M20,CB7PH,CB7PH_VA,37.5967,-76.0594,0.044,0.001333333,33,1510.21745,2832
04M21,CB7PH,CB7PH_VA,37.6539,-76.0522,0.014,0.001166667,12,524.4296235,3001
04M22,CB7PH,CB7PH_VA,37.6656,-76.0972,0.014,0.001555556,9,1161.639699,3081
04M23,CB7PH,CB7PH_VA,37.6897,-75.9339,0.028,0.001217391,23,537.185105,3092
04M24,CB5MH,CB5MH_VA,37.7925,-76.1744,0.008,0.001142857,7,339.8156549,3580
04M25,TANMH,TANMH_VA,37.8594,-76.0169,0.045,0.004090909,11,742.0587899,3846
04M26,CB5MH,CB5MH_VA,37.8753,-76.195,0.046,0.002421053,19,576.9299119,4000
04M30,CB5MH,CB5MH_MD,37.9256,-76.1519,0.018,0.001285714,14,1118.559491,4174
04R01,RPPMH,RPPMH_VA,37.5972,-76.3672,0.036,0.003,12,843.6259781,2806
04R02,RPPMH,RPPMH_VA,37.6172,-76.4158,0.022,0.001833333,12,496.5995426,2887
04R05,RPPMH,RPPMH_VA,37.6428,-76.4583,0.009,0.0018,5,697.2097784,2968
04R06,RPPMH,RPPMH_VA,37.6261,-76.4664,0.018,0.002,9,420.3499297,2883
04R07,CRRMH,CRRMH_VA,37.6597,-76.4836,0.008,0.001333333,6,1488.569974,2966
04R08,RPPMH,RPPMH_VA,37.6317,-76.5261,0.018,0.0018,10,883.5330639,2879
04R10,RPPMH,RPPMH_VA,37.685,-76.5603,0.018,0.00225,8,580.5721787,3128
04R11,RPPMH,RPPMH_VA,37.7247,-76.5614,0.067,0.003526316,19,593.7216537,3296
04R12,RPPMH,RPPMH_VA,37.7008,-76.5775,0.011,0.001222222,9,573.7536057,3211
04R13,RPPMH,RPPMH_VA,37.7286,-76.5944,0.008,0.001142857,7,692.6470589,3378
04R15,RPPMH,RPPMH_VA,37.7578,-76.6061,0.007,0.001166667,6,646.9563267,3546
04R16,RPPMH,RPPMH_VA,37.7825,-76.6317,0.066,0.0055,12,340.306188,3712
04R17,RPPMH,RPPMH_VA,37.7633,-76.6594,0.051,0.005666667,9,810.2231147,3627
04R20,RPPMH,RPPMH_VA,37.8058,-76.6992,0.031,0.002818182,11,542.9872529,3877
04R21,RPPMH,RPPMH_VA,37.8031,-76.7022,0.019,0.002111111,9,671.9316248,3877
04R22,RPPMH,RPPMH_VA,37.8139,-76.7194,0.014,0.001272727,11,360.4193505,3960
04R23,RPPMH,RPPMH_VA,37.8264,-76.7406,0.114,0.007125,16,460.8772015,4043
04R24,RPPMH,RPPMH_VA,37.8419,-76.7375,0.028,0.0028,10,551.8720835,4127
04R25,RPPMH,RPPMH_VA,37.8672,-76.7672,0.019,0.002111111,9,953.7682448,4294
04R26,RPPMH,RPPMH_VA,37.9167,-76.8375,0.039,0.0026,15,656.1994685,4710
04R27,RPPMH,RPPMH_VA,37.9464,-76.8589,0.037,0.004625,8,596.4703901,4878
04R28,RPPMH,RPPMH_VA,37.9503,-76.8622,0.034,0.003090909,11,1006.267914,4878
04R29,RPPOH,RPPOH_VA,37.9939,-76.9025,4.959,0.41325,12,5433.890039,4962
04Y01,YRKPH,YRKPH_VA,37.2281,-76.4553,0.035,0.001842105,19,677.4917714,1715
04Y02,YRKPH,YRKPH_VA,37.2336,-76.4594,0.042,0.002625,16,730.5171555,1799
04Y05,YRKPH,YRKPH_VA,37.2553,-76.5239,0.03,0.001875,16,370.1129098,1794
04Y06,YRKPH,YRKPH_VA,37.2558,-76.5306,0.042,0.002210526,19,766.2938996,1793
04Y07,YRKPH,YRKPH_VA,37.2614,-76.5372,0.02,0.001818182,11,214.0328645,1793
04Y08,YRKPH,YRKPH_VA,37.2814,-76.5467,0.055,0.002037037,27,579.9372327,1876
04Y09,YRKPH,YRKPH_VA,37.2839,-76.5806,0.047,0.00235,20,986.6123617,1873
04Y10,YRKMH,YRKMH_VA,37.3114,-76.5869,0.028,0.003111111,9,391.4129637,1956
04Y12,YRKMH,YRKMH_VA,37.3458,-76.6053,0.054,0.0036,15,302.6214045,2038
04Y13,YRKMH,YRKMH_VA,37.3206,-76.625,0.036,0.002571429,14,736.5322565,1954
04Y14,YRKMH,YRKMH_VA,37.3706,-76.6517,0.025,0.003571429,7,950.5639859,2119
04Y15,YRKMH,YRKMH_VA,37.4053,-76.6678,0.038,0.002923077,13,911.4641339,2201
04Y16,YRKMH,YRKMH_VA,37.3892,-76.6769,0.017,0.001888889,9,743.8047971,2117
04Y17,YRKMH,YRKMH_VA,37.3886,-76.6769,0.017,0.001416667,12,718.5594867,2117
04Y19,YRKMH,YRKMH_VA,37.4439,-76.7319,0.04,0.005714286,7,607.2063406,2282
04Y21,YRKMH,YRKMH_VA,37.4597,-76.7444,0.034,0.003090909,11,1889.344073,2282
04Y22,YRKMH,YRKMH_VA,37.5089,-76.7864,0.021,0.001615385,13,8444.428522,2282
04Y23,YRKMH,YRKMH_VA,37.5106,-76.7892,0.025,0.002272727,11,8745.237126,2282
04Y25,YRKMH,YRKMH_VA,37.5319,-76.8056,0.047,0.003615385,13,11504.67259,2282
04Y28,MPNTF,MPNTF_VA,37.6897,-76.9169,0.017,0.001545455,11,20905.87705,3959
05J01,JMSMH,JMSMH_VA,36.7552,-76.5757,0.012,0.002,6,18189.76269,389
05J04,JMSPH,JMSPH_VA,36.9771,-76.3147,0.033,0.001833333,18,601.5600997,728
05J05,JMSMH,JMSMH_VA,36.9831,-76.6226,0.03,0.002727273,11,7061.876969,541
05J06,JMSPH,JMSPH_VA,36.9874,-76.3309,0.597,0.013883721,43,754.0110609,727
05J07,JMSMH,JMSMH_VA,36.9898,-76.6221,0.015,0.0015,10,6431.76285,541
05J08,JMSMH,JMSMH_VA,37.053,-76.6626,0.019,0.0038,5,2434.385801,535
05J09,JMSMH,JMSMH_VA,37.0692,-76.5343,0.139,0.0139,10,796.2194777,709
05J10,JMSMH,JMSMH_VA,37.0764,-76.5291,0.04,0.003636364,11,677.0196609,709
05J11,JMSOH,JMSOH_VA,37.17,-76.7372,0.014,0.001555556,9,545.7715632,693
05J12,JMSOH,JMSOH_VA,37.1744,-76.6998,0.009,0.001,9,922.972654,778
05J13,JMSMH,JMSMH_VA,37.186,-76.6281,0.019,0.002375,8,725.043443,950
05J14,JMSOH,JMSOH_VA,37.2119,-76.6834,0.002,0.001,2,295.1853408,1030
05J15,JMSOH,JMSOH_VA,37.2127,-76.8198,0.079,0.0079,10,705.4188014,771
05J16,JMSOH,JMSOH_VA,37.2253,-76.8489,0.012,0.001714286,7,695.4713968,770
05J17,JMSOH,JMSOH_VA,37.227,-76.916,0.037,0.0037,10,903.9698326,599
05J18,JMSOH,JMSOH_VA,37.2371,-76.8764,0.016,0.001333333,12,489.3340083,768
05J19,JMSTF,JMSTF_NATL,37.2374,-76.9623,1.22,0.093846154,13,445.4433513,597
05J20,JMSTF,JMSTF_NATL,37.273,-77.0591,0.052,0.0065,8,9861.572193,597
05J21,JMSTF,JMSTF_NATL,37.2752,-76.9873,0.064,0.008,8,5179.501504,597
05J23,JMSTF,JMSTF_NATL,37.3025,-77.1035,0.022,0.0022,10,14881.24482,597
05J24,JMSTF,JMSTF_NATL,37.3096,-77.1809,0.016,0.001454545,11,21379.42045,597
05J26,JMSMH,JMSMH_VA,37.0196,-76.526,0.103,0.0064375,16,1012.202685,545
05J27,JMSOH,JMSOH_VA,37.1656,-76.7367,0.014,0.002333333,6,102.2007398,693
05J28,JMSMH,JMSMH_VA,37.0995,-76.6512,0.155,0.017222222,9,369.6028862,617
05J29,JMSPH,JMSPH_VA,36.9767,-76.3389,0.048,0.002285714,21,744.6699391,727
05M01,CB8PH,CB8PH_VA,37.0079,-76.1315,0.135,0.006428571,21,603.3504905,1073
05M02,CB8PH,CB8PH_VA,37.0501,-76.2801,0.041,0.001708333,24,949.4227215,979
05M03,CB7PH,CB7PH_VA,37.083,-75.9894,0.036,0.00225,16,1163.907454,1748
05M04,CB7PH,CB7PH_VA,37.1788,-75.9976,0.055,0.001833333,30,2089.190589,1999
05M05,CB7PH,CB7PH_VA,37.2756,-76.1061,0.079,0.002393939,33,1669.110228,2159
05M07,CB7PH,CB7PH_VA,37.3087,-76.0467,0.051,0.002125,24,2222.111498,2246
05M09,MOBPH,MOBPH_VA,37.3954,-76.3273,0.036,0.003272727,11,5698.741757,2223
05M10,CB6PH,CB6PH_VA,37.4237,-76.1978,0.026,0.001368421,19,1346.978973,2485
05M12,CB7PH,CB7PH_VA,37.456,-76.039,0.111,0.002775,40,784.4568805,2581
05M13,CB6PH,CB6PH_VA,37.5308,-76.1828,0.043,0.002529412,17,1984.860413,2653
05M14,CB7PH,CB7PH_VA,37.5384,-75.9822,0.061,0.002178571,28,775.4922261,2753
05M15,CB5MH,CB5MH_VA,37.6658,-76.2401,0.003,0.001,3,741.2507767,3069
05M16,CB7PH,CB7PH_VA,37.7293,-75.8862,0.053,0.00252381,21,1299.998237,3178
05M18,CB5MH,CB5MH_VA,37.7955,-76.1766,0.005,0.001,5,557.7634711,3580
05M19,CB5MH,CB5MH_VA,37.8187,-76.164,0.024,0.001714286,14,644.0545792,3750
05M21,CB5MH,CB5MH_VA,37.8384,-76.2106,0.018,0.001636364,11,342.2531449,3830
05M22,TANMH,TANMH_VA,37.8546,-75.9065,0.036,0.002117647,17,962.5883432,3767
05M23,TANMH,TANMH_VA,37.8776,-76.0466,0.018,0.001384615,13,215.1040204,3929
