STATION,CBPSEG,cbpseg_st,LATITUDE,LONGITUDE,SUM,MEAN,COUNT
07Y03,YRKPH,YRKPH_VA,37.2892,-76.59099999999998,0.073,0.0036499999999999996,20
07Y04,YRKMH,YRKMH_VA,37.2937,-76.60089999999998,0.098,0.0037692307692307695,26
07Y05,YRKMH,YRKMH_VA,37.3223,-76.5989,0.103,0.009363636363636364,11
07Y06,YRKMH,YRKMH_VA,37.3251,-76.5931,0.058,0.0030526315789473684,19
07Y07,YRKMH,YRKMH_VA,37.3469,-76.6211,0.026,0.0023636363636363633,11
07Y08,YRKMH,YRKMH_VA,37.3521,-76.63379999999998,0.018000000000000002,0.0012000000000000001,15
07Y09,YRKMH,YRKMH_VA,37.3592,-76.6242,0.045,0.002045454545454545,22
07Y11,YRKMH,YRKMH_VA,37.3903,-76.6499,0.059000000000000004,0.0036875000000000002,16
07Y13,YRKMH,YRKMH_VA,37.4544,-76.7432,0.022,0.002,11
07Y14,YRKMH,YRKMH_VA,37.4966,-76.7562,0.061,0.004692307692307692,13
07Y15,YRKMH,YRKMH_VA,37.4883,-76.7779,0.175,0.01346153846153846,13
07Y16,YRKMH,YRKMH_VA,37.4992,-76.7809,0.028999999999999998,0.003222222222222222,9
07Y17,YRKMH,YRKMH_VA,37.5003,-76.7846,0.025,0.003125,8
07Y18,YRKMH,YRKMH_VA,37.5187,-76.7993,0.193,0.0120625,16
07Y19,PMKOH,PMKOH_VA,37.5484,-76.88939999999998,0.008,0.001142857142857143,7
07Y20,PMKOH,PMKOH_VA,37.5406,-76.9439,0.005,0.00125,4
07Y21,PMKTF,PMKTF_VA,37.5527,-76.95829999999998,0.039,0.004333333333333333,9
07Y22,MPNOH,MPNOH_VA,37.6094,-76.8348,0.028999999999999998,0.004833333333333333,6
07Y23,MPNOH,MPNOH_VA,37.6516,-76.8735,0.08600000000000001,0.010750000000000001,8
07Y24,MPNTF,MPNTF_VA,37.655,-76.90269999999998,0.022,0.0024444444444444444,9
07Y25,MPNTF,MPNTF_VA,37.7007,-76.97199999999998,0.022000000000000002,0.003666666666666667,6
07Y26,YRKMH,YRKMH_VA,37.5082,-76.7998,0.227,0.028375,8
07Y27,YRKPH,YRKPH_VA,37.2679,-76.5485,0.05,0.002272727272727273,22
08J01,JMSPH,JMSPH_VA,36.9593,-76.2895,0.038,0.0038,10
08J02,JMSPH,JMSPH_VA,36.957,-76.2913,0.035,0.0035000000000000005,10
08J03,JMSPH,JMSPH_VA,36.9724,-76.33339999999998,0.493,0.01264102564102564,39
08J04,ELIPH,ELIPH_VA,36.8714,-76.3413,0.12,0.004,30
08J05,WBEMH,WBEMH_VA,36.8316,-76.366,0.066,0.0044,15
08J06,SBEMH,SBEMH_VA,36.7908,-76.3024,0.095,0.006333333333333333,15
08J07,JMSPH,JMSPH_VA,36.9779,-76.39369999999998,0.057,0.0016285714285714287,35
08J08,JMSMH,JMSMH_VA,36.9252,-76.4056,0.028,0.0014,20
08J09,JMSMH,JMSMH_VA,36.9288,-76.4432,0.028999999999999998,0.0022307692307692306,13
08J10,JMSMH,JMSMH_VA,36.8934,-76.4825,0.04,0.0025,16
08J11,JMSMH,JMSMH_VA,36.876,-76.5021,0.038,0.0031666666666666666,12
08J12,JMSMH,JMSMH_VA,36.7529,-76.57479999999998,0.11900000000000001,0.009153846153846155,13
08J13,JMSMH,JMSMH_VA,36.9313,-76.48699999999998,0.049999999999999996,0.003333333333333333,15
08J14,JMSMH,JMSMH_VA,37.0369,-76.5543,0.038,0.002533333333333333,15
08J15,JMSMH,JMSMH_VA,37.0876,-76.5518,0.041999999999999996,0.0032307692307692306,13
08J17,JMSMH,JMSMH_VA,37.0805,-76.6468,0.021,0.0016153846153846155,13
08J18,JMSMH,JMSMH_VA,37.0937,-76.61279999999998,1.802,0.08580952380952381,21
08J19,JMSMH,JMSMH_VA,37.1182,-76.62479999999998,1.73,0.108125,16
08J21,JMSMH,JMSMH_VA,37.1636,-76.65439999999998,0.021,0.0021000000000000003,10
08J22,JMSOH,JMSOH_VA,37.1941,-76.6751,0.023,0.0023,10
08J23,JMSOH,JMSOH_VA,37.1537,-76.7197,0.026000000000000002,0.0026000000000000003,10
08J24,JMSOH,JMSOH_VA,37.2048,-76.89499999999998,0.023,0.002875,8
08J25,JMSTF,JMSTF_NATL,37.2899,-76.9919,0.056,0.009333333333333334,6
08J26,JMSTF,JMSTF_NATL,37.3138,-77.1055,0.022,0.00275,8
08J29,JMSOH,JMSOH_VA,37.2129,-76.6725,0.021,0.0023333333333333335,9
08M01,CB8PH,CB8PH_VA,36.9822,-76.1967,0.15,0.006,25
08M02,CB8PH,CB8PH_VA,36.9877,-76.2853,0.017,0.0014166666666666668,12
08M03,CB7PH,CB7PH_VA,37.1194,-76.04049999999998,0.162,0.009529411764705883,17
08M04,CB7PH,CB7PH_VA,37.1255,-75.9946,0.042,0.0028,15
08M05,CB6PH,CB6PH_VA,37.2024,-76.26949999999998,0.034,0.001888888888888889,18
08M06,CB7PH,CB7PH_VA,37.2653,-76.03969999999998,0.165,0.0103125,16
08M07,CB6PH,CB6PH_VA,37.2948,-76.21649999999998,0.106,0.0031176470588235292,34
08M08,CB6PH,CB6PH_VA,37.3404,-76.2295,0.106,0.004608695652173913,23
08M09,CB6PH,CB6PH_VA,37.3586,-76.21769999999998,0.034,0.0017000000000000001,20
08M10,MOBPH,MOBPH_VA,37.3728,-76.34739999999998,0.111,0.003827586206896552,29
08M11,CB6PH,CB6PH_VA,37.5082,-76.25449999999998,0.036000000000000004,0.00144,25
08M12,CB7PH,CB7PH_VA,37.5482,-76.0099,0.079,0.002323529411764706,34
08M13,CB6PH,CB6PH_VA,37.5904,-76.22929999999998,0.157,0.010466666666666668,15
08M15,CB7PH,CB7PH_VA,37.6977,-75.956,0.07500000000000001,0.00340909090909091,22
08M16,CB6PH,CB6PH_VA,37.7075,-76.12739999999998,0.076,0.002533333333333333,30
08M17,CB7PH,CB7PH_VA,37.7085,-76.0497,0.012,0.0013333333333333333,9
08M18,CB7PH,CB7PH_VA,37.7284,-75.92,0.005,0.001,5
08M19,CB7PH,CB7PH_VA,37.7476,-75.8425,0.11699999999999999,0.0065,18
08M20,CB7PH,CB7PH_VA,37.767,-75.8135,0.041999999999999996,0.0016799999999999999,25
08M21,TANMH,TANMH_VA,37.8082,-75.9753,0.051000000000000004,0.00255,20
08M22,TANMH,TANMH_VA,37.8291,-75.9071,0.085,0.003695652173913044,23
08M23,TANMH,TANMH_VA,37.8537,-75.9393,0.012,0.001,12
08M24,CB5MH,CB5MH_VA,37.8554,-76.06489999999998,0.045,0.0026470588235294116,17
08M25,TANMH,TANMH_VA,37.8751,-75.8271,0.024,0.0016,15
08M26,CB6PH,CB6PH_VA,37.5548,-76.2377,0.102,0.0031875,32
08R01,RPPMH,RPPMH_VA,37.6088,-76.3392,0.063,0.003,21
08R02,RPPMH,RPPMH_VA,37.5954,-76.36419999999998,0.016,0.0016,10
08R03,RPPMH,RPPMH_VA,37.6201,-76.39239999999998,0.061,0.003588235294117647,17
08R04,RPPMH,RPPMH_VA,37.6229,-76.43859999999998,0.034,0.0026153846153846158,13
08R05,RPPMH,RPPMH_VA,37.6463,-76.4539,0.09,0.004736842105263157,19
08R07,CRRMH,CRRMH_VA,37.6535,-76.4778,0.02,0.0018181818181818182,11
08R08,CRRMH,CRRMH_VA,37.6948,-76.4773,0.031,0.0023846153846153848,13
08R09,CRRMH,CRRMH_VA,37.7383,-76.51659999999998,0.027,0.003375,8
08R10,RPPMH,RPPMH_VA,37.6346,-76.5524,0.043000000000000003,0.0022631578947368424,19
08R12,RPPMH,RPPMH_VA,37.7375,-76.57259999999998,0.024,0.002,12
08R13,RPPMH,RPPMH_VA,37.7393,-76.611,0.03,0.002,15
08R14,RPPMH,RPPMH_VA,37.7366,-76.61759999999998,0.08800000000000001,0.0055000000000000005,16
08R16,RPPMH,RPPMH_VA,37.7717,-76.6115,0.028,0.0018666666666666666,15
08R17,RPPMH,RPPMH_VA,37.7659,-76.66589999999998,0.024,0.003428571428571429,7
08R18,RPPMH,RPPMH_VA,37.8186,-76.68989999999998,0.071,0.005461538461538461,13
08R19,RPPMH,RPPMH_VA,37.8487,-76.73229999999998,0.127,0.00976923076923077,13
08R20,RPPMH,RPPMH_VA,37.8803,-76.7714,0.048,0.006,8
08R21,RPPMH,RPPMH_VA,37.9075,-76.78149999999998,0.058,0.004833333333333334,12
08R22,RPPMH,RPPMH_VA,37.9176,-76.8626,0.053000000000000005,0.004076923076923077,13
08R23,RPPOH,RPPOH_VA,38.0503,-76.94,0.032,0.0035555555555555557,9
08R24,RPPTF,RPPTF_VA,38.1512,-77.0857,0.045000000000000005,0.003461538461538462,13
08R25,RPPTF,RPPTF_VA,38.1704,-77.156,0.30900000000000005,0.022071428571428575,14
08R27,CRRMH,CRRMH_VA,37.6574,-76.4992,0.11699999999999999,0.005849999999999999,20
08Y01,YRKPH,YRKPH_VA,37.2398,-76.4432,0.133,0.004290322580645161,31
08Y02,YRKPH,YRKPH_VA,37.2442,-76.4633,0.179,0.009421052631578946,19
08Y03,YRKPH,YRKPH_VA,37.2266,-76.474,0.045,0.0026470588235294116,17
08Y04,YRKPH,YRKPH_VA,37.2276,-76.4788,0.042,0.002625,16
08Y05,YRKPH,YRKPH_VA,37.263,-76.48059999999998,0.017,0.001888888888888889,9
08Y06,YRKPH,YRKPH_VA,37.2354,-76.5002,1.267,0.09746153846153846,13
08Y08,YRKPH,YRKPH_VA,37.2753,-76.5704,0.042,0.0024705882352941176,17
08Y10,YRKPH,YRKPH_VA,37.2897,-76.569,0.02,0.002,10
08Y12,YRKPH,YRKPH_VA,37.2982,-76.57049999999998,0.026000000000000002,0.002888888888888889,9
08Y13,YRKPH,YRKPH_VA,37.2967,-76.57779999999998,0.027,0.0024545454545454545,11
08Y14,YRKMH,YRKMH_VA,37.3259,-76.61409999999998,0.085,0.00425,20
08Y15,YRKMH,YRKMH_VA,37.3836,-76.6603,0.023,0.0020909090909090908,11
