"STATION","CBPSEG","cbpseg_st","LATITUDE","LONGITUDE","SUM","MEAN","COUNT","CellID","DistanceToNearestKm","Replacement"
"04R22","RPPMH","RPPMH_VA",37.8139,-76.7194,0.014,0.00127272727272727,11,NA,360.419350546209,3960
"04R23","RPPMH","RPPMH_VA",37.8264,-76.7406,0.114,0.007125,16,NA,460.877201524936,4043
"04R24","RPPMH","RPPMH_VA",37.8419,-76.7375,0.028,0.0028,10,NA,551.87208348956,4127
"04R25","RPPMH","RPPMH_VA",37.8672,-76.7672,0.019,0.00211111111111111,9,NA,953.76824478688,4294
"04R26","RPPMH","RPPMH_VA",37.9167,-76.8375,0.039,0.0026,15,NA,656.199468502776,4710
"04R27","RPPMH","RPPMH_VA",37.9464,-76.8589,0.037,0.004625,8,NA,596.470390059268,4878
"04R28","RPPMH","RPPMH_VA",37.9503,-76.8622,0.034,0.00309090909090909,11,NA,1006.2679142636,4878
"04R29","RPPOH","RPPOH_VA",37.9939,-76.9025,4.959,0.41325,12,NA,5433.890038642,4962
"04Y01","YRKPH","YRKPH_VA",37.2281,-76.4553,0.035,0.00184210526315789,19,NA,677.491771380001,1715
"04Y02","YRKPH","YRKPH_VA",37.2336,-76.4594,0.042,0.002625,16,NA,730.517155506542,1799
"04Y05","YRKPH","YRKPH_VA",37.2553,-76.5239,0.03,0.001875,16,NA,370.112909793915,1794
"04Y06","YRKPH","YRKPH_VA",37.2558,-76.5306,0.042,0.00221052631578947,19,NA,766.293899579708,1793
"04Y07","YRKPH","YRKPH_VA",37.2614,-76.5372,0.02,0.00181818181818182,11,NA,214.032864506388,1793
"04Y08","YRKPH","YRKPH_VA",37.2814,-76.5467,0.055,0.00203703703703704,27,NA,579.937232712788,1876
"04Y09","YRKPH","YRKPH_VA",37.2839,-76.5806,0.047,0.00235,20,NA,986.612361679917,1873
"04Y10","YRKMH","YRKMH_VA",37.3114,-76.5869,0.028,0.00311111111111111,9,NA,391.412963656266,1956
"04Y12","YRKMH","YRKMH_VA",37.3458,-76.6053,0.054,0.0036,15,NA,302.621404491791,2038
"04Y13","YRKMH","YRKMH_VA",37.3206,-76.625,0.036,0.00257142857142857,14,NA,736.532256501155,1954
"04Y14","YRKMH","YRKMH_VA",37.3706,-76.6517,0.025,0.00357142857142857,7,NA,950.563985918014,2119
"04Y15","YRKMH","YRKMH_VA",37.4053,-76.6678,0.038,0.00292307692307692,13,NA,911.464133943231,2201
"04Y16","YRKMH","YRKMH_VA",37.3892,-76.6769,0.017,0.00188888888888889,9,NA,743.804797050102,2117
"04Y17","YRKMH","YRKMH_VA",37.3886,-76.6769,0.017,0.00141666666666667,12,NA,718.559486685522,2117
"04Y19","YRKMH","YRKMH_VA",37.4439,-76.7319,0.04,0.00571428571428571,7,NA,607.206340570932,2282
"04Y21","YRKMH","YRKMH_VA",37.4597,-76.7444,0.034,0.00309090909090909,11,NA,1889.34407303225,2282
"04Y22","YRKMH","YRKMH_VA",37.5089,-76.7864,0.021,0.00161538461538462,13,NA,8444.4285217304,2282
"04Y23","YRKMH","YRKMH_VA",37.5106,-76.7892,0.025,0.00227272727272727,11,NA,8745.23712590778,2282
"04Y25","YRKMH","YRKMH_VA",37.5319,-76.8056,0.047,0.00361538461538462,13,NA,11504.6725912536,2282
"04Y28","MPNTF","MPNTF_VA",37.6897,-76.9169,0.017,0.00154545454545455,11,NA,20905.8770488427,3959
"05J01","JMSMH","JMSMH_VA",36.7552,-76.5757,0.012,0.002,6,NA,18189.762693738,389
