LBL,Aggregate_grp,Aggregate_grp2,Func_grp,General_grouping,Family,Order,Class ,TSN,NODC_CODE
Branchiura sowerbyi,oligocheate,oligocheate,worms,oligocheate,Naididae     ,Tubificida,Oligochaeta,68621,
Brania clavata,polychaete,polychaete,worms,polychaete,Syllidae   ,Phyllodocida,Polychaeta,65761,
Brania wellfleetensis,polychaete,polychaete,worms,polychaete,Syllidae   ,Phyllodocida,Polychaeta,65762,
bratislavia unidentata,oligocheate,oligocheate,worms,oligocheate,Naididae     ,Tubificida,Oligochaeta,.,
busycon canaliculatum,gastropod,gastropod,Gastropods,gastropod,Buccinidae,Neogastropoda,Gastropoda,,
busycon carica,gastropod,gastropod,Gastropods,gastropod,Buccinidae,Neogastropoda,Gastropoda,,
busycon spp.,gastropod,gastropod,Gastropods,gastropod,Buccinidae,Neogastropoda,Gastropoda,,
Cabira incerta,polychaete,polychaete,worms,polychaete,Pilargidae,Phyllodocida,Polychaeta,65565,
Caecum pulchellum,gastropod,gastropod,Gastropods,gastropod,Caecidae,Littorinimorpha ,Gastropoda,71380,
Caenis spp.,insect,insect,insect,insect,Caenidae,Ephemeroptera,Insecta       ,#N/A,
Callianassa setimanus,decapod_shrimp,large_decapod,decapod_shrimp,Infaunal_shrimp,Callianassidae ,Decapoda ,Malacostraca,97760,
Callinectes sapidus,decapod_crab,large_decapod,decapod_crab,decapod_crab,Portunidae,Decapoda,Malacostraca,98696,
Campeloma decisum,gastropod,gastropod,Gastropods,gastropod,Viviparidae,Architaenioglossa,Gastropoda,70312,
Capitella capitata comp,polychaete,polychaete,worms,polychaete,Capitellidae,Scolecida,Polychaeta,#N/A,
capitella capitata complex,polychaete,polychaete,worms,polychaete,Capitellidae,Scolecida,Polychaeta,,
capitellidae,polychaete,polychaete,worms,polychaete,Capitellidae,Scolecida,Polychaeta,,
Capitellides jonesi,polychaete,polychaete,worms,polychaete,Capitellidae,Scolecida,Polychaeta,67450,
capitellides sp.,polychaete,polychaete,worms,polychaete,Capitellidae,Scolecida,Polychaeta,,
capitomastus aciculatus,polychaete,polychaete,worms,polychaete,Capitellidae,Scolecida,Polychaeta,,
Caprella equilibra,amphipods,amphipods,small_crust,amphipods_isopods,Caprellidae,Amphipoda,Malacostraca,95410,
Caprella penantis,amphipods,amphipods,small_crust,amphipods_isopods,Caprellidae,Amphipoda,Malacostraca,95419,
Carazziella hobsonae,polychaete,polychaete,worms,polychaete,Spionidae   ,Spionida,Polychaeta,67003,
Carinoma tremaphoros,nemertean,nemertean,worms,nemertean,Carinomidae  ,Paleonemertea,Anopla         ,57429,
carinomella lactea,nemertean,nemertean,worms,nemertean,carinomellidae,Paleonemertea,Nemertea,,
