"CellID","SAMPLE_DATE","Year","Cell","Emb1","Emb2"
"x8861",1995-09-06,1995,2851,0.37098672164525,0.210797739116669
"x8862",1995-09-06,1995,2852,0.621349208875606,0.185617312803177
"x8871",1995-09-07,1995,2861,0.0533772997210034,0.109877150059171
"x8941",1995-09-06,1995,2864,-0.125475505625877,0.166602596362456
"x8945",1995-09-06,1995,2868,-0.191312873016116,0.147895570077953
"x9024",1995-09-06,1995,2880,-0.415596293253388,0.0802682356582888
"x9038",1995-09-06,1995,2894,0.430011123932891,0.235843261902333
"x9109",1995-09-06,1995,2896,0.163309257324908,0.261994231594718
"x9115",1995-09-06,1995,2900,0.258406899376544,0.329748669874634
"x9198",1995-09-06,1995,2908,0.374726584531885,0.180701754323532
"x9285",1995-09-06,1995,2918,0.221485792907033,0.281527344483876
"x9373",1995-09-06,1995,2929,-0.153597779246882,0.0873264799775565
